date, total, active 
2022-02-02, 2, 2
2022-02-03, 2, 2
2022-02-04, 3, 3
2022-02-05, 3, 3
2022-02-06, 3, 3
2022-02-07, 3, 3
2022-02-08, 3, 3
2022-02-09, 4, 4
2022-02-10, 4, 4
2022-02-11, 6, 6
2022-02-12, 7, 7
2022-02-13, 8, 8
2022-02-14, 8, 8
2022-02-15, 8, 8
2022-02-16, 10, 10
2022-02-17, 12, 12
2022-02-18, 12, 12
2022-02-19, 12, 12
2022-02-20, 12, 12
2022-02-21, 12, 12
2022-02-22, 12, 12
2022-02-23, 13, 13
2022-02-24, 13, 13
2022-02-25, 13, 13
2022-02-26, 14, 14
2022-02-27, 14, 14
2022-02-28, 15, 15
2022-03-01, 15, 15
2022-03-02, 16, 16
2022-03-03, 16, 16
2022-03-04, 16, 16
2022-03-05, 16, 16
2022-03-06, 16, 15
2022-03-07, 16, 15
2022-03-08, 16, 15
2022-03-09, 16, 15
2022-03-10, 16, 15
2022-03-11, 16, 14
2022-03-12, 16, 14
2022-03-13, 16, 13
2022-03-14, 16, 11
2022-03-15, 16, 10
2022-03-16, 16, 10
2022-03-17, 16, 10
2022-03-18, 16, 8
2022-03-19, 16, 6
2022-03-20, 16, 6
2022-03-21, 16, 6
2022-03-22, 16, 6
2022-03-23, 16, 6
2022-03-24, 16, 6
2022-03-25, 16, 5
2022-03-26, 16, 5
2022-03-27, 17, 6
2022-03-28, 17, 5
2022-03-29, 17, 4
2022-03-30, 17, 3
2022-03-31, 17, 3
2022-04-01, 17, 2
2022-04-02, 17, 2
2022-04-03, 17, 2
2022-04-04, 18, 3
2022-04-05, 18, 3
2022-04-06, 18, 3
2022-04-07, 18, 3
2022-04-08, 18, 3
2022-04-09, 18, 3
2022-04-10, 18, 3
2022-04-11, 18, 3
2022-04-12, 18, 3
2022-04-13, 18, 3
2022-04-14, 18, 3
2022-04-15, 18, 3
2022-04-16, 18, 3
2022-04-17, 18, 3
2022-04-18, 18, 3
2022-04-19, 18, 3
2022-04-20, 18, 3
2022-04-21, 18, 3
2022-04-22, 18, 3
2022-04-23, 19, 4
2022-04-24, 19, 4
2022-04-25, 19, 4
2022-04-26, 19, 3
2022-04-27, 19, 3
2022-04-28, 19, 3
2022-04-29, 19, 3
2022-04-30, 19, 3
2022-05-01, 19, 3
2022-05-02, 19, 3
2022-05-03, 19, 3
2022-05-04, 19, 3
2022-05-05, 19, 3
2022-05-06, 19, 3
2022-05-07, 19, 3
2022-05-08, 19, 3
2022-05-09, 19, 3
2022-05-10, 19, 3
2022-05-11, 20, 4
2022-05-12, 20, 4
2022-05-13, 20, 4
2022-05-14, 20, 4
2022-05-15, 20, 4
2022-05-16, 20, 4
2022-05-17, 20, 4
2022-05-18, 20, 4
2022-05-19, 20, 4
2022-05-20, 20, 4
2022-05-21, 20, 4
2022-05-22, 20, 4
2022-05-23, 20, 4
2022-05-24, 20, 4
2022-05-25, 20, 4
2022-05-26, 20, 3
2022-05-27, 20, 3
2022-05-28, 20, 3
2022-05-29, 20, 3
2022-05-30, 20, 3
2022-05-31, 20, 3
2022-06-01, 20, 3
2022-06-02, 20, 3
2022-06-03, 20, 2
2022-06-04, 20, 2
2022-06-05, 20, 2
2022-06-06, 20, 2
2022-06-07, 20, 2
2022-06-08, 20, 2
2022-06-09, 20, 2
2022-06-10, 20, 1
2022-06-13, 20, 1
2022-06-14, 20, 1
2022-06-15, 20, 1
2022-06-16, 20, 1
2022-06-17, 20, 1
2022-06-18, 20, 1
2022-06-19, 20, 1
2022-06-20, 20, 1
2022-06-21, 20, 1
2022-06-22, 21, 2
2022-06-23, 21, 2
2022-06-24, 22, 3
2022-06-25, 22, 3
2022-06-26, 22, 3
2022-06-27, 22, 3
2022-06-28, 22, 3
2022-06-29, 22, 3
2022-06-30, 22, 3
2022-07-01, 22, 3
2022-07-02, 22, 3
2022-07-03, 22, 3
2022-07-04, 22, 3
2022-07-05, 22, 3
2022-07-06, 22, 3
2022-07-07, 22, 3
2022-07-08, 22, 3
2022-07-09, 23, 4
2022-07-10, 23, 4
2022-07-11, 23, 4
2022-07-12, 23, 4
2022-07-13, 23, 4
2022-07-14, 24, 5
2022-07-15, 24, 5
2022-07-16, 24, 5
2022-07-17, 24, 5
2022-07-18, 24, 5
2022-07-19, 24, 5
2022-07-20, 24, 5
2022-07-21, 24, 5
2022-07-22, 24, 4
2022-07-23, 24, 3
2022-07-24, 25, 3
2022-07-25, 25, 3
2022-07-26, 25, 3
2022-07-27, 25, 3
2022-07-28, 25, 3
2022-07-29, 25, 3
2022-07-30, 25, 3
2022-07-31, 25, 3
2022-08-01, 25, 3
2022-08-02, 25, 3
2022-08-03, 25, 3
2022-08-04, 25, 3
2022-08-05, 25, 3
2022-08-06, 25, 3
2022-08-07, 25, 3
2022-08-08, 25, 2
2022-08-09, 25, 2
2022-08-10, 25, 2
2022-08-11, 25, 2
2022-08-12, 25, 2
2022-08-13, 27, 5
2022-08-14, 27, 5
2022-08-15, 27, 5
2022-08-16, 29, 6
2022-08-17, 29, 6
2022-08-18, 29, 6
2022-08-19, 29, 6
2022-08-20, 29, 6
2022-08-21, 29, 6
2022-08-22, 29, 7
2022-08-23, 29, 6
2022-08-24, 29, 6
2022-08-25, 29, 6
2022-08-26, 29, 6
2022-08-27, 29, 6
2022-08-28, 29, 6
2022-08-29, 29, 6
2022-08-30, 29, 7
2022-08-31, 29, 7
2022-09-01, 29, 7
2022-09-02, 30, 8
2022-09-03, 31, 9
2022-09-04, 31, 9
2022-09-05, 31, 9
2022-09-06, 31, 9
2022-09-07, 31, 9
2022-09-08, 31, 9
2022-09-09, 31, 9
2022-09-10, 31, 9
2022-09-11, 31, 9
2022-09-12, 31, 6
2022-09-13, 31, 6
2022-09-14, 31, 6
2022-09-15, 31, 4
2022-09-16, 31, 4
2022-09-17, 31, 4
2022-09-18, 31, 4
2022-09-19, 31, 4
2022-09-20, 31, 4
2022-09-21, 31, 3
2022-09-22, 31, 3
2022-09-23, 31, 3
2022-09-24, 31, 3
2022-09-25, 31, 3
2022-09-26, 31, 3
2022-09-27, 31, 3
2022-09-28, 31, 3
2022-09-29, 30, 2
2022-09-30, 32, 5
2022-10-01, 32, 5
2022-10-02, 32, 5
2022-10-03, 32, 3
2022-10-04, 33, 4
2022-10-05, 33, 4
2022-10-06, 34, 5
2022-10-07, 34, 5
2022-10-08, 34, 6
2022-10-09, 34, 6
2022-10-10, 34, 6
2022-10-11, 34, 6
2022-10-12, 34, 6
2022-10-13, 34, 6
2022-10-14, 34, 6
2022-10-15, 34, 6
2022-10-16, 34, 6
2022-10-17, 34, 6
2022-10-18, 34, 6
2022-10-19, 34, 6
2022-10-20, 34, 6
2022-10-21, 34, 6
2022-10-22, 34, 6
2022-10-23, 34, 6
2022-10-24, 34, 6
2022-10-25, 34, 6
2022-10-26, 34, 6
2022-10-27, 34, 6
2022-10-28, 34, 6
2022-10-29, 34, 6
2022-10-30, 34, 4
2022-10-31, 34, 4
2022-11-01, 34, 4
2022-11-02, 34, 4
2022-11-03, 34, 2
2022-11-04, 34, 3
2022-11-05, 34, 2
2022-11-06, 34, 2
2022-11-07, 34, 1
2022-11-08, 34, 1
2022-11-09, 34, 1
2022-11-10, 34, 1
2022-11-11, 34, 1
2022-11-12, 34, 1
2022-11-13, 34, 1
2022-11-14, 34, 2
2022-11-15, 35, 4
2022-11-16, 35, 5
2022-11-17, 36, 7
2022-11-18, 36, 7
2022-11-19, 36, 7
2022-11-20, 37, 8
2022-11-21, 38, 9
2022-11-22, 39, 10
2022-11-23, 40, 11
2022-11-24, 41, 12
2022-11-25, 41, 12
2022-11-26, 41, 12
2022-11-27, 41, 12
2022-11-28, 42, 13
2022-11-29, 42, 13
2022-11-30, 42, 13
2022-12-01, 42, 13
2022-12-02, 42, 13
2022-12-03, 43, 14
2022-12-04, 43, 14
2022-12-05, 43, 14
2022-12-06, 43, 14
2022-12-07, 43, 14
2022-12-08, 46, 17
2022-12-09, 46, 17
2022-12-10, 46, 17
2022-12-11, 47, 18
2022-12-12, 47, 18
2022-12-13, 48, 19
2022-12-14, 49, 20
2022-12-15, 50, 19
2022-12-16, 50, 18
2022-12-17, 51, 17
2022-12-18, 51, 17
2022-12-19, 51, 17
2022-12-20, 52, 17
2022-12-21, 52, 16
2022-12-22, 52, 15
2022-12-23, 52, 13
2022-12-24, 52, 12
2022-12-25, 52, 12
2022-12-26, 52, 12
2022-12-27, 52, 12
2022-12-28, 53, 12
2022-12-29, 54, 13
2022-12-30, 54, 13
2022-12-31, 55, 14
2023-01-01, 56, 15
2023-01-02, 61, 19
2023-01-03, 67, 28
2023-01-04, 70, 31
2023-01-05, 77, 38
2023-01-06, 80, 41
2023-01-07, 82, 40
2023-01-08, 83, 41
2023-01-09, 84, 42
2023-01-10, 84, 41
2023-01-11, 85, 42
2023-01-12, 87, 43
2023-01-13, 92, 47
2023-01-14, 94, 48
2023-01-15, 94, 49
2023-01-16, 99, 53
2023-01-17, 101, 55
2023-01-18, 103, 57
2023-01-19, 105, 59
2023-01-20, 109, 64
2023-01-21, 111, 67
2023-01-22, 113, 69
2023-01-23, 114, 70
2023-01-24, 115, 73
2023-01-25, 119, 78
2023-01-26, 119, 79
2023-01-27, 119, 78
2023-01-28, 119, 77
2023-01-29, 119, 77
2023-01-30, 120, 76
2023-01-31, 121, 76
2023-02-01, 124, 76
2023-02-02, 126, 70
2023-02-03, 133, 76
2023-02-04, 135, 71
2023-02-05, 135, 68
2023-02-06, 138, 69
2023-02-07, 139, 69
2023-02-08, 138, 67
2023-02-09, 139, 68
2023-02-10, 141, 69
2023-02-11, 142, 70
2023-02-12, 143, 67
2023-02-13, 147, 71
2023-02-14, 167, 91
2023-02-15, 167, 87
2023-02-16, 171, 91
2023-02-17, 180, 100
2023-02-18, 182, 101
2023-02-19, 182, 98
2023-02-20, 182, 97
2023-02-21, 183, 98
2023-02-22, 184, 98
2023-02-23, 185, 97
2023-02-24, 185, 89
2023-02-25, 186, 90
2023-02-26, 186, 90
2023-02-27, 187, 91
2023-02-28, 187, 91
2023-03-01, 187, 90
2023-03-02, 186, 90
2023-03-03, 186, 88
2023-03-04, 187, 87
2023-03-05, 187, 81
2023-03-06, 189, 83
2023-03-07, 190, 84
2023-03-08, 190, 81
2023-03-09, 191, 81
2023-03-10, 192, 82
2023-03-11, 195, 86
2023-03-12, 195, 86
2023-03-13, 195, 85
2023-03-14, 195, 84
2023-03-15, 197, 82
2023-03-16, 198, 63
2023-03-17, 200, 66
2023-03-18, 201, 54
2023-03-19, 202, 43
2023-03-20, 202, 37
2023-03-21, 202, 38
2023-03-22, 212, 50
2023-03-23, 219, 58
2023-03-24, 219, 55
2023-03-25, 220, 55
2023-03-26, 220, 55
2023-03-27, 220, 54
2023-03-28, 220, 54
2023-03-29, 220, 53
2023-03-30, 221, 54
2023-03-31, 221, 54
2023-04-01, 221, 54
2023-04-02, 221, 54
2023-04-03, 221, 53
2023-04-04, 221, 59
2023-04-05, 222, 58
2023-04-06, 223, 58
2023-04-07, 225, 59
2023-04-08, 226, 60
2023-04-09, 227, 60
2023-04-10, 228, 57
2023-04-11, 228, 57
2023-04-12, 228, 57
2023-04-13, 228, 57
2023-04-14, 230, 56
2023-04-15, 230, 55
2023-04-16, 231, 53
2023-04-17, 231, 55
2023-04-18, 231, 54
2023-04-19, 231, 54
2023-04-20, 233, 56
2023-04-21, 234, 45
2023-04-22, 236, 41
2023-04-23, 239, 44
2023-04-24, 240, 44
2023-04-25, 240, 44
2023-04-26, 239, 43
2023-04-27, 239, 44
2023-04-28, 239, 44
2023-04-29, 239, 44
2023-04-30, 239, 44
2023-05-01, 239, 44
2023-05-02, 239, 44
2023-05-03, 241, 52
2023-05-04, 244, 49
2023-05-05, 244, 47
2023-05-06, 246, 47
2023-05-07, 247, 46
2023-05-08, 249, 46
2023-05-09, 249, 45
2023-05-10, 251, 45
2023-05-11, 252, 45
2023-05-12, 252, 45
2023-05-13, 259, 53
2023-05-14, 262, 54
2023-05-15, 263, 56
2023-05-16, 264, 56
2023-05-17, 264, 55
2023-05-18, 268, 60
2023-05-19, 271, 71
2023-05-20, 273, 73
2023-05-21, 275, 74
2023-05-22, 276, 72
2023-05-23, 277, 72
2023-05-24, 277, 72
2023-05-25, 278, 73
2023-05-26, 279, 74
2023-05-27, 279, 74
2023-05-28, 279, 74
2023-05-29, 281, 75
2023-05-30, 281, 75
2023-05-31, 282, 76
2023-06-01, 283, 77
2023-06-02, 287, 77
2023-06-03, 289, 78
2023-06-04, 290, 78
2023-06-05, 292, 79
2023-06-06, 295, 82
2023-06-07, 297, 83
2023-06-08, 300, 86
2023-06-09, 300, 84
2023-06-10, 303, 86
2023-06-11, 305, 86
2023-06-12, 309, 86
2023-06-13, 312, 87
2023-06-14, 314, 87
2023-06-15, 314, 86
2023-06-16, 314, 86
2023-06-17, 315, 83
2023-06-18, 316, 71
2023-06-19, 316, 66
2023-06-20, 317, 67
2023-06-21, 317, 66
2023-06-22, 318, 66
2023-06-23, 317, 66
2023-06-24, 318, 64
2023-06-26, 318, 64
2023-06-28, 320, 64
2023-06-29, 321, 65
2023-06-30, 322, 66
2023-07-02, 329, 67
2023-07-03, 329, 64
2023-07-04, 330, 65
2023-07-05, 330, 63
2023-07-06, 330, 58
2023-07-07, 330, 60
2023-07-08, 333, 63
2023-07-09, 333, 63
2023-07-10, 333, 63
2023-07-11, 336, 67
2023-07-12, 338, 61
2023-07-13, 342, 60
2023-07-14, 342, 59
2023-07-15, 342, 60
2023-07-16, 342, 60
2023-07-17, 343, 60
2023-07-18, 362, 79
2023-07-19, 372, 89
2023-07-20, 373, 89
2023-07-21, 375, 92
2023-07-22, 375, 92
2023-07-23, 376, 92
2023-07-24, 376, 92
2023-07-25, 391, 107
2023-07-26, 399, 115
2023-07-27, 405, 123
2023-07-28, 412, 128
2023-07-29, 412, 127
2023-07-31, 412, 115
2023-08-01, 412, 115
2023-08-02, 412, 116
2023-08-03, 412, 116
2023-08-04, 413, 117
2023-08-05, 414, 120
2023-08-06, 414, 110
2023-08-07, 414, 107
2023-08-08, 413, 106
2023-08-09, 413, 106
2023-08-10, 413, 102
2023-08-11, 412, 101
2023-08-12, 412, 98
2023-08-13, 412, 98
2023-08-14, 413, 98
2023-08-15, 412, 97
2023-08-16, 412, 96
2023-08-17, 413, 79
2023-08-18, 413, 71
2023-08-19, 413, 71
2023-08-20, 414, 69
2023-08-21, 413, 67
2023-08-22, 412, 67
2023-08-23, 414, 68
2023-08-24, 415, 56
2023-08-25, 415, 51
2023-08-26, 415, 44
2023-08-27, 416, 31
2023-08-28, 417, 31
2023-08-29, 424, 39
2023-08-30, 423, 39
2023-08-31, 424, 37
2023-09-01, 426, 37
2023-09-02, 426, 37
2023-09-03, 426, 36
2023-09-04, 427, 35
2023-09-05, 427, 36
2023-09-06, 428, 37
2023-09-07, 429, 46
2023-09-08, 429, 45
2023-09-09, 429, 46
2023-09-10, 429, 48
2023-09-11, 431, 52
2023-09-12, 432, 53
2023-09-13, 432, 52
2023-09-14, 433, 53
2023-09-15, 435, 55
2023-09-16, 436, 56
2023-09-17, 435, 58
2023-09-18, 436, 61
2023-09-19, 438, 63
2023-09-20, 442, 68
2023-09-21, 443, 67
2023-09-22, 445, 70
2023-09-23, 447, 72
2023-09-24, 447, 71
2023-09-25, 447, 69
2023-09-26, 447, 68
2023-09-27, 450, 69
2023-09-28, 450, 60
2023-09-29, 450, 60
2023-09-30, 450, 58
2023-10-01, 450, 57
2023-10-02, 450, 57
2023-10-03, 450, 56
2023-10-04, 450, 54
2023-10-05, 450, 52
2023-10-06, 450, 51
2023-10-07, 450, 41
2023-10-08, 450, 41
2023-10-09, 450, 40
2023-10-10, 450, 38
2023-10-11, 450, 35
2023-10-12, 451, 35
2023-10-13, 451, 34
2023-10-14, 452, 34
2023-10-15, 452, 34
2023-10-16, 452, 33
2023-10-17, 454, 34
2023-10-18, 455, 38
2023-10-19, 455, 35
2023-10-20, 458, 34
2023-10-21, 460, 36
2023-10-22, 460, 43
2023-10-23, 461, 42
2023-10-24, 463, 47
2023-10-25, 467, 54
2023-10-26, 469, 56
2023-10-27, 470, 57
2023-10-28, 470, 59
2023-10-29, 472, 61
2023-10-30, 472, 61
2023-10-31, 476, 64
2023-11-01, 479, 68
2023-11-02, 480, 70
2023-11-03, 482, 74
2023-11-04, 483, 75
2023-11-05, 500, 103
2023-11-06, 511, 116
2023-11-07, 566, 177
2023-11-08, 594, 208
2023-11-09, 614, 229
2023-11-10, 621, 239
2023-11-11, 640, 257
2023-11-12, 643, 260
2023-11-13, 643, 259
2023-11-14, 647, 263
2023-11-15, 649, 265
2023-11-16, 648, 263
2023-11-17, 650, 264
2023-11-18, 651, 265
2023-11-19, 653, 264
2023-11-20, 653, 262
2023-11-21, 654, 256
2023-11-22, 656, 257
2023-11-23, 656, 252
2023-11-24, 656, 249
2023-11-25, 657, 250
2023-11-26, 657, 249
2023-11-27, 658, 245
2023-11-28, 661, 247
2023-11-29, 662, 249
2023-11-30, 663, 249
2023-12-01, 671, 257
2023-12-02, 671, 255
2023-12-03, 671, 253
2023-12-04, 672, 253
2023-12-05, 673, 225
2023-12-06, 676, 216
2023-12-07, 678, 163
2023-12-08, 678, 136
2023-12-09, 678, 115
2023-12-10, 679, 104
2023-12-11, 681, 81
2023-12-12, 684, 82
2023-12-13, 686, 84
2023-12-14, 687, 79
2023-12-15, 686, 80
2023-12-16, 686, 81
2023-12-17, 686, 79
2023-12-18, 687, 80
2023-12-19, 690, 81
2023-12-20, 690, 80
2023-12-21, 692, 79
2023-12-22, 692, 76
2023-12-23, 692, 76
2023-12-24, 692, 76
2023-12-25, 693, 73
2023-12-26, 693, 73
2023-12-27, 693, 71
2023-12-28, 692, 66
2023-12-29, 692, 64
2023-12-30, 692, 60
2023-12-31, 692, 41
2024-01-01, 692, 41
2024-01-02, 692, 41
2024-01-03, 693, 41
2024-01-04, 692, 36
2024-01-05, 693, 33
2024-01-06, 694, 32
2024-01-07, 694, 55